Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-11-27,S92000003,Scotland,735,94200,1723.3809001097693,111.12330772045372,24,3910,71.53311379436516,4874,908877,16627.82656421515,17188,911,5.300209448452408,5.565949128339836,7397,9791,92.0,,7.0,,259,652,735,94200,3910
2020-11-28,S92000003,Scotland,571,94771,1733.8272960117088,107.62897914379803,41,3951,72.28320526893525,3162,912039,16685.675082327114,9829,693,7.0505646556109465,5.421760484722372,4153,5676,63.0,,3.0,,161,532,571,94771,3951
2020-11-29,S92000003,Scotland,555,95326,1743.9809732894255,104.8664471276985,28,3979,72.79546286132455,2904,914943,16738.80351262349,8442,672,7.960199004975125,5.301282642797823,3559,4883,69.0,,4.0,,165,507,555,95326,3979
2020-11-30,S92000003,Scotland,972,96298,1761.7636297109402,101.55506769118185,32,4011,73.38090010976948,6894,921837,16864.928649835347,24479,1140,4.657052984190531,5.057123528204505,9481,14998,88.0,,6.0,,335,805,972,96298,4011
2020-12-01,S92000003,Scotland,923,97221,1778.649835345774,100.32930845225026,27,4038,73.8748627881449,6356,928193,16981.21112330772,27808,1089,3.916139240506329,4.954907401821802,9650,18158,84.0,,6.0,,325,764,923,97221,4038
2020-12-02,S92000003,Scotland,948,98169,1795.9934138309552,100.67691181851448,20,4058,74.24076106842298,6045,934238,17091.803878521772,26054,1118,4.291087740845936,4.901144640998959,8905,17149,102.0,,5.0,,329,789,948,98169,4058
2020-12-03,S92000003,Scotland,803,98972,1810.68422978412,100.75009147457008,36,4094,74.89937797292353,5237,939475,17187.614343212586,20640,962,4.660852713178294,4.898095804819994,7229,13411,75.0,,4.0,,251,711,803,98972,4094
2020-12-04,S92000003,Scotland,646,99618,1822.502744237102,99.1218441273326,29,4123,75.42993047932676,4675,944150,17273.14306622759,17262,792,4.588112617309697,4.806934594168637,7326,9936,86.0,,5.0,,230,562,646,99618,4123
2020-12-05,S92000003,Scotland,662,100280,1834.6139773143068,100.78668130259788,19,4142,75.77753384559092,3746,947896,17341.675814123675,10211,781,7.648614239545588,4.858557703712489,3745,6466,78.0,,3.0,,176,605,662,100280,4142
2020-12-06,S92000003,Scotland,643,100923,1846.3776070252468,102.39663373582144,29,4171,76.30808635199415,3430,951326,17404.427369191362,9893,747,7.550793490346709,4.861859813563921,4055,5838,66.0,,1.0,,180,567,643,100923,4171
2020-12-07,S92000003,Scotland,949,101872,1863.7394804244416,101.97585071350164,29,4200,76.83863885839736,6150,957476,17516.941090376877,24395,1104,4.525517524082804,4.838437433492585,10029,14366,92.0,,5.0,,303,801,949,101872,4200
2020-12-08,S92000003,Scotland,1040,102912,1882.7661909989024,104.11635565312842,28,4228,77.35089645078668,5745,963221,17622.045371386754,28025,1190,4.246208742194469,4.90474794841735,10285,17740,105.0,,7.0,,326,864,1040,102912,4228
